strategy_id,trade_date,gross_return,transaction_cost,net_return,benchmark_return,turnover,n_positions
E1_X1_H2,2026-04-14,0.0019834730880996404,0.0013333333333333333,0.0006501397547663071,0.01222286795565819,4,2
E1_X1_H2,2026-04-15,0.004266901809735069,0.001,0.003266901809735069,0.007841368631783086,3,1
E1_X1_H2,2026-04-16,0.022570339301298654,0.0013333333333333333,0.021237005967965322,0.002443359727769767,4,3
E1_X1_H2,2026-04-17,0.021867706373601387,0.0016666666666666668,0.02020103970693472,0.012116029004205942,5,2
E1_X1_H2,2026-04-20,0.002804823655555612,0.0013333333333333333,0.0014714903222222788,-0.001915337476153911,4,2
E1_X1_H2,2026-04-21,-0.014108495960413105,0.0013333333333333333,-0.01544182929374644,-0.0064202793566923155,4,2
E1_X1_H2,2026-04-22,0.013668265134120934,0.0006666666666666666,0.013001598467454268,0.01004062711554421,2,0
E1_X1_H2,2026-04-23,0.0,0.0003333333333333333,-0.0003333333333333333,-0.0038947982250965296,1,1
E1_X1_H2,2026-04-24,0.0003972075952696219,0.0003333333333333333,6.387426193628858e-05,0.007819967828259333,1,0
E1_X1_H2,2026-04-27,0.0,0.0,0.0,0.0016526971456629624,0,0
E1_X1_H2,2026-04-28,0.0,0.0,0.0,-0.00486601683459531,0,0
E1_X1_H2,2026-04-29,0.0,0.0003333333333333333,-0.0003333333333333333,-0.00014047828654228933,1,1
E1_X1_H2,2026-04-30,0.023556060308906748,0.001,0.022556060308906747,0.009570248454200181,3,2
E1_X1_H2,2026-05-01,-0.0031546006508748623,0.0013333333333333333,-0.004487933984208195,0.0031737193101639694,4,2
E1_X1_H2,2026-05-04,-0.01116262365220633,0.0016666666666666668,-0.012829290318872998,-0.0036077201043374085,5,3
E1_X1_H2,2026-05-05,-0.0012984884162102566,0.0013333333333333333,-0.00263182174954359,0.007896142231708758,4,1
E1_X1_H2,2026-05-06,0.028915847863519393,0.0006666666666666666,0.028249181196852727,0.01385860866086297,2,1
E1_X1_H2,2026-05-07,-0.00485910642976483,0.0003333333333333333,-0.005192439763098163,-0.0030118728127759287,1,0
E1_X1_H2,2026-05-08,0.0,0.0,0.0,0.008160686421079255,0,0
E1_X1_H2,2026-05-11,0.0,0.0003333333333333333,-0.0003333333333333333,0.0022642914102741774,1,1
E1_X1_H2,2026-05-12,-0.013663705661634022,0.0006666666666666666,-0.014330372328300688,-0.001352813830473698,2,1
E1_X1_H2,2026-05-13,0.005274379203646496,0.001,0.004274379203646496,0.005560797075141233,3,2
E1_X1_H2,2026-05-14,-0.0008367550263967359,0.0013333333333333333,-0.0021700883597300692,0.007779853929373859,4,2
E1_X1_H2,2026-05-15,-0.020771174973777333,0.0013333333333333333,-0.022104508307110665,-0.012030798570200396,4,2
E1_X1_H2,2026-05-18,-0.02205063706215095,0.0006666666666666666,-0.022717303728817615,-0.0007036038307429715,2,0
E1_X1_H2,2026-05-19,0.0,0.0003333333333333333,-0.0003333333333333333,-0.006458540331209295,1,1
E1_X1_H2,2026-05-20,0.018107658709023245,0.001,0.017107658709023244,0.010166426628926084,3,2
E1_X1_H2,2026-05-21,0.007609643172383331,0.001,0.006609643172383331,0.002023608768971341,3,1
E1_X1_H2,2026-05-22,-0.0013336221740130434,0.0003333333333333333,-0.0016669555073463766,0.003823664564750917,1,0
E1_X1_H2,2026-05-26,0.0,0.0006666666666666666,-0.0006666666666666666,0.006545076612997969,2,2
E1_X1_H2,2026-05-27,0.004229358337340058,0.0006666666666666666,0.003562691670673391,0.0,2,0
E1_X1_H2,2026-05-28,0.0,0.0003333333333333333,-0.0003333333333333333,0.005556576689411674,1,1
E1_X1_H2,2026-05-29,-0.006945514256462604,0.0013333333333333333,-0.008278847589795937,0.0023322507837659767,4,3
E1_X1_H2,2026-06-01,2.2216182233153006e-06,0.0016666666666666668,-0.0016644450484433514,0.002696956585801269,5,2
E1_X1_H2,2026-06-02,-0.0011222588112491977,0.001,-0.0021222588112491977,0.0013580088845568383,3,1
E1_X1_H2,2026-06-03,-0.02751703991302184,0.0003333333333333333,-0.027850373246355174,-0.006952175155563456,1,0
E1_X1_H2,2026-06-04,0.0,0.0006666666666666666,-0.0006666666666666666,0.00379212843223109,2,2
E1_X1_H2,2026-06-05,-0.004865469599659833,0.0006666666666666666,-0.0055321362663265,-0.025757876381252487,2,0
E1_X1_H3,2026-03-12,0.0,0.0003333333333333333,-0.0003333333333333333,,1,1
E1_X1_H3,2026-03-13,-0.014382525414259068,0.0006666666666666666,-0.015049192080925734,-0.005615263884687471,2,3
E1_X1_H3,2026-03-16,0.02314618673650298,0.0013333333333333333,0.021812853403169647,0.010055917714691942,4,1
E1_X1_H3,2026-03-17,0.012963690736920006,0.0006666666666666666,0.01229702407025334,0.002645835981161415,2,1
E1_X1_H3,2026-03-18,-0.014085128471134833,0.0006666666666666666,-0.0147517951378015,-0.013656722393905363,2,1
E1_X1_H3,2026-03-19,-0.005008182208571057,0.0003333333333333333,-0.00534151554190439,-0.0027964336360658537,1,0
E1_X1_H3,2026-03-20,0.0,0.0003333333333333333,-0.0003333333333333333,-0.016991998780259032,1,1
E1_X1_H3,2026-03-23,0.02197557353968511,0.001,0.02097557353968511,0.010578071653885024,3,2
E1_X1_H3,2026-03-24,0.004466304432509541,0.0016666666666666668,0.002799637765842874,-0.0033110806511186253,5,3
E1_X1_H3,2026-03-25,0.007779683633501132,0.001,0.006779683633501132,0.00541943962215008,3,0
E1_X1_H3,2026-03-26,0.0,0.0006666666666666666,-0.0006666666666666666,-0.01771631077539948,2,2
E1_X1_H3,2026-03-27,-0.032097766249345676,0.0013333333333333333,-0.03343109958267901,-0.017090184873313485,4,2
E1_X1_H3,2026-03-30,-0.003986763749384118,0.001,-0.004986763749384118,-0.0032803700381383027,3,1
E1_X1_H3,2026-03-31,0.01962452239401903,0.0003333333333333333,0.019291189060685696,0.028860744041732556,1,0
E1_X1_H3,2026-04-01,0.0,0.0,0.0,0.0075971987506116,0,0
E1_X1_H3,2026-04-02,0.0,0.0,0.0,0.0010684273250964882,0,0
E1_X1_H3,2026-04-06,0.0,0.0003333333333333333,-0.0003333333333333333,0.004558745825631982,1,1
E1_X1_H3,2026-04-07,-6.445455665298024e-05,0.0006666666666666666,-0.0007311212233196469,0.000591944771089592,2,1
E1_X1_H3,2026-04-08,0.027629190720880006,0.0013333333333333333,0.026295857387546674,0.025210076253671332,4,3
E1_X1_H3,2026-04-09,0.015223877275021844,0.0016666666666666668,0.013557210608355177,0.005903400315958152,5,2
E1_X1_H3,2026-04-10,-0.001043534560964683,0.001,-0.002043534560964683,-0.0007795141211186518,3,1
E1_X1_H3,2026-04-13,0.009545270458377433,0.0003333333333333333,0.0092119371250441,0.009818327562752804,1,2
E1_X1_H3,2026-04-14,0.0019834730880996404,0.0013333333333333333,0.0006501397547663071,0.01222286795565819,4,2
E1_X1_H3,2026-04-15,0.004266901809735069,0.001,0.003266901809735069,0.007841368631783086,3,1
E1_X1_H3,2026-04-16,0.022570339301298654,0.0013333333333333333,0.021237005967965322,0.002443359727769767,4,3
E1_X1_H3,2026-04-17,0.021867706373601387,0.0016666666666666668,0.02020103970693472,0.012116029004205942,5,2
E1_X1_H3,2026-04-20,0.002804823655555612,0.0013333333333333333,0.0014714903222222788,-0.001915337476153911,4,2
E1_X1_H3,2026-04-21,-0.014108495960413105,0.0013333333333333333,-0.01544182929374644,-0.0064202793566923155,4,2
E1_X1_H3,2026-04-22,0.013668265134120934,0.0006666666666666666,0.013001598467454268,0.01004062711554421,2,0
E1_X1_H3,2026-04-23,0.0,0.0003333333333333333,-0.0003333333333333333,-0.0038947982250965296,1,1
E1_X1_H3,2026-04-24,0.0003972075952696219,0.0003333333333333333,6.387426193628858e-05,0.007819967828259333,1,0
E1_X1_H3,2026-04-27,0.0,0.0,0.0,0.0016526971456629624,0,0
E1_X1_H3,2026-04-28,0.0,0.0,0.0,-0.00486601683459531,0,0
E1_X1_H3,2026-04-29,0.0,0.0003333333333333333,-0.0003333333333333333,-0.00014047828654228933,1,1
E1_X1_H3,2026-04-30,0.023556060308906748,0.001,0.022556060308906747,0.009570248454200181,3,2
E1_X1_H3,2026-05-01,-0.0031546006508748623,0.0013333333333333333,-0.004487933984208195,0.0031737193101639694,4,2
E1_X1_H3,2026-05-04,-0.01116262365220633,0.0016666666666666668,-0.012829290318872998,-0.0036077201043374085,5,3
E1_X1_H3,2026-05-05,-0.0012984884162102566,0.0013333333333333333,-0.00263182174954359,0.007896142231708758,4,1
E1_X1_H3,2026-05-06,0.028915847863519393,0.0006666666666666666,0.028249181196852727,0.01385860866086297,2,1
E1_X1_H3,2026-05-07,-0.00485910642976483,0.0003333333333333333,-0.005192439763098163,-0.0030118728127759287,1,0
E1_X1_H3,2026-05-08,0.0,0.0,0.0,0.008160686421079255,0,0
E1_X1_H3,2026-05-11,0.0,0.0003333333333333333,-0.0003333333333333333,0.0022642914102741774,1,1
E1_X1_H3,2026-05-12,-0.013663705661634022,0.0006666666666666666,-0.014330372328300688,-0.001352813830473698,2,1
E1_X1_H3,2026-05-13,0.005274379203646496,0.001,0.004274379203646496,0.005560797075141233,3,2
E1_X1_H3,2026-05-14,-0.0008367550263967359,0.0013333333333333333,-0.0021700883597300692,0.007779853929373859,4,2
E1_X1_H3,2026-05-15,-0.020771174973777333,0.0013333333333333333,-0.022104508307110665,-0.012030798570200396,4,2
E1_X1_H3,2026-05-18,-0.02205063706215095,0.0006666666666666666,-0.022717303728817615,-0.0007036038307429715,2,0
E1_X1_H3,2026-05-19,0.0,0.0003333333333333333,-0.0003333333333333333,-0.006458540331209295,1,1
E1_X1_H3,2026-05-20,0.018107658709023245,0.001,0.017107658709023244,0.010166426628926084,3,2
E1_X1_H3,2026-05-21,0.007609643172383331,0.001,0.006609643172383331,0.002023608768971341,3,1
E1_X1_H3,2026-05-22,-0.0013336221740130434,0.0003333333333333333,-0.0016669555073463766,0.003823664564750917,1,0
E1_X1_H3,2026-05-26,0.0,0.0006666666666666666,-0.0006666666666666666,0.006545076612997969,2,2
E1_X1_H3,2026-05-27,0.004229358337340058,0.0006666666666666666,0.003562691670673391,0.0,2,0
E1_X1_H3,2026-05-28,0.0,0.0003333333333333333,-0.0003333333333333333,0.005556576689411674,1,1
E1_X1_H3,2026-05-29,-0.006945514256462604,0.0013333333333333333,-0.008278847589795937,0.0023322507837659767,4,3
E1_X1_H3,2026-06-01,2.2216182233153006e-06,0.0016666666666666668,-0.0016644450484433514,0.002696956585801269,5,2
E1_X1_H3,2026-06-02,-0.0011222588112491977,0.001,-0.0021222588112491977,0.0013580088845568383,3,1
E1_X1_H3,2026-06-03,-0.02751703991302184,0.0003333333333333333,-0.027850373246355174,-0.006952175155563456,1,0
E1_X1_H3,2026-06-04,0.0,0.0006666666666666666,-0.0006666666666666666,0.00379212843223109,2,2
E1_X1_H3,2026-06-05,-0.004865469599659833,0.0006666666666666666,-0.0055321362663265,-0.025757876381252487,2,0
E1_X1_H4,2026-03-12,0.0,0.0003333333333333333,-0.0003333333333333333,,1,1
E1_X1_H4,2026-03-13,-0.014382525414259068,0.0006666666666666666,-0.015049192080925734,-0.005615263884687471,2,3
E1_X1_H4,2026-03-16,0.02314618673650298,0.0013333333333333333,0.021812853403169647,0.010055917714691942,4,1
E1_X1_H4,2026-03-17,0.012963690736920006,0.0006666666666666666,0.01229702407025334,0.002645835981161415,2,1
E1_X1_H4,2026-03-18,-0.014085128471134833,0.0006666666666666666,-0.0147517951378015,-0.013656722393905363,2,1
E1_X1_H4,2026-03-19,-0.005008182208571057,0.0003333333333333333,-0.00534151554190439,-0.0027964336360658537,1,0
E1_X1_H4,2026-03-20,0.0,0.0003333333333333333,-0.0003333333333333333,-0.016991998780259032,1,1
E1_X1_H4,2026-03-23,0.02197557353968511,0.001,0.02097557353968511,0.010578071653885024,3,2
E1_X1_H4,2026-03-24,0.004466304432509541,0.0016666666666666668,0.002799637765842874,-0.0033110806511186253,5,3
E1_X1_H4,2026-03-25,0.007779683633501132,0.001,0.006779683633501132,0.00541943962215008,3,0
E1_X1_H4,2026-03-26,0.0,0.0006666666666666666,-0.0006666666666666666,-0.01771631077539948,2,2
E1_X1_H4,2026-03-27,-0.032097766249345676,0.0013333333333333333,-0.03343109958267901,-0.017090184873313485,4,2
E1_X1_H4,2026-03-30,-0.003986763749384118,0.001,-0.004986763749384118,-0.0032803700381383027,3,1
E1_X1_H4,2026-03-31,0.01962452239401903,0.0003333333333333333,0.019291189060685696,0.028860744041732556,1,0
E1_X1_H4,2026-04-01,0.0,0.0,0.0,0.0075971987506116,0,0
E1_X1_H4,2026-04-02,0.0,0.0,0.0,0.0010684273250964882,0,0
E1_X1_H4,2026-04-06,0.0,0.0003333333333333333,-0.0003333333333333333,0.004558745825631982,1,1
E1_X1_H4,2026-04-07,-6.445455665298024e-05,0.0006666666666666666,-0.0007311212233196469,0.000591944771089592,2,1
E1_X1_H4,2026-04-08,0.027629190720880006,0.0013333333333333333,0.026295857387546674,0.025210076253671332,4,3
E1_X1_H4,2026-04-09,0.015223877275021844,0.0016666666666666668,0.013557210608355177,0.005903400315958152,5,2
E1_X1_H4,2026-04-10,-0.001043534560964683,0.001,-0.002043534560964683,-0.0007795141211186518,3,1
E1_X1_H4,2026-04-13,0.009545270458377433,0.0003333333333333333,0.0092119371250441,0.009818327562752804,1,2
E1_X1_H4,2026-04-14,0.0019834730880996404,0.0013333333333333333,0.0006501397547663071,0.01222286795565819,4,2
E1_X1_H4,2026-04-15,0.004266901809735069,0.001,0.003266901809735069,0.007841368631783086,3,1
E1_X1_H4,2026-04-16,0.022570339301298654,0.0013333333333333333,0.021237005967965322,0.002443359727769767,4,3
E1_X1_H4,2026-04-17,0.021867706373601387,0.0016666666666666668,0.02020103970693472,0.012116029004205942,5,2
E1_X1_H4,2026-04-20,0.002804823655555612,0.0013333333333333333,0.0014714903222222788,-0.001915337476153911,4,2
E1_X1_H4,2026-04-21,-0.014108495960413105,0.0013333333333333333,-0.01544182929374644,-0.0064202793566923155,4,2
E1_X1_H4,2026-04-22,0.013668265134120934,0.0006666666666666666,0.013001598467454268,0.01004062711554421,2,0
E1_X1_H4,2026-04-23,0.0,0.0003333333333333333,-0.0003333333333333333,-0.0038947982250965296,1,1
E1_X1_H4,2026-04-24,0.0003972075952696219,0.0003333333333333333,6.387426193628858e-05,0.007819967828259333,1,0
E1_X1_H4,2026-04-27,0.0,0.0,0.0,0.0016526971456629624,0,0
E1_X1_H4,2026-04-28,0.0,0.0,0.0,-0.00486601683459531,0,0
E1_X1_H4,2026-04-29,0.0,0.0003333333333333333,-0.0003333333333333333,-0.00014047828654228933,1,1
E1_X1_H4,2026-04-30,0.023556060308906748,0.001,0.022556060308906747,0.009570248454200181,3,2
E1_X1_H4,2026-05-01,-0.0031546006508748623,0.0013333333333333333,-0.004487933984208195,0.0031737193101639694,4,2
E1_X1_H4,2026-05-04,-0.01116262365220633,0.0016666666666666668,-0.012829290318872998,-0.0036077201043374085,5,3
E1_X1_H4,2026-05-05,-0.0012984884162102566,0.0013333333333333333,-0.00263182174954359,0.007896142231708758,4,1
E1_X1_H4,2026-05-06,0.028915847863519393,0.0006666666666666666,0.028249181196852727,0.01385860866086297,2,1
E1_X1_H4,2026-05-07,-0.00485910642976483,0.0003333333333333333,-0.005192439763098163,-0.0030118728127759287,1,0
E1_X1_H4,2026-05-08,0.0,0.0,0.0,0.008160686421079255,0,0
E1_X1_H4,2026-05-11,0.0,0.0003333333333333333,-0.0003333333333333333,0.0022642914102741774,1,1
E1_X1_H4,2026-05-12,-0.013663705661634022,0.0006666666666666666,-0.014330372328300688,-0.001352813830473698,2,1
E1_X1_H4,2026-05-13,0.005274379203646496,0.001,0.004274379203646496,0.005560797075141233,3,2
E1_X1_H4,2026-05-14,-0.0008367550263967359,0.0013333333333333333,-0.0021700883597300692,0.007779853929373859,4,2
E1_X1_H4,2026-05-15,-0.020771174973777333,0.0013333333333333333,-0.022104508307110665,-0.012030798570200396,4,2
E1_X1_H4,2026-05-18,-0.02205063706215095,0.0006666666666666666,-0.022717303728817615,-0.0007036038307429715,2,0
E1_X1_H4,2026-05-19,0.0,0.0003333333333333333,-0.0003333333333333333,-0.006458540331209295,1,1
E1_X1_H4,2026-05-20,0.018107658709023245,0.001,0.017107658709023244,0.010166426628926084,3,2
E1_X1_H4,2026-05-21,0.007609643172383331,0.001,0.006609643172383331,0.002023608768971341,3,1
E1_X1_H4,2026-05-22,-0.0013336221740130434,0.0003333333333333333,-0.0016669555073463766,0.003823664564750917,1,0
E1_X1_H4,2026-05-26,0.0,0.0006666666666666666,-0.0006666666666666666,0.006545076612997969,2,2
E1_X1_H4,2026-05-27,0.004229358337340058,0.0006666666666666666,0.003562691670673391,0.0,2,0
E1_X1_H4,2026-05-28,0.0,0.0003333333333333333,-0.0003333333333333333,0.005556576689411674,1,1
E1_X1_H4,2026-05-29,-0.006945514256462604,0.0013333333333333333,-0.008278847589795937,0.0023322507837659767,4,3
E1_X1_H4,2026-06-01,2.2216182233153006e-06,0.0016666666666666668,-0.0016644450484433514,0.002696956585801269,5,2
E1_X1_H4,2026-06-02,-0.0011222588112491977,0.001,-0.0021222588112491977,0.0013580088845568383,3,1
E1_X1_H4,2026-06-03,-0.02751703991302184,0.0003333333333333333,-0.027850373246355174,-0.006952175155563456,1,0
E1_X1_H4,2026-06-04,0.0,0.0006666666666666666,-0.0006666666666666666,0.00379212843223109,2,2
E1_X1_H4,2026-06-05,-0.004865469599659833,0.0006666666666666666,-0.0055321362663265,-0.025757876381252487,2,0
E1_X1_H5,2026-03-12,0.0,0.0003333333333333333,-0.0003333333333333333,,1,1
E1_X1_H5,2026-03-13,-0.014382525414259068,0.0006666666666666666,-0.015049192080925734,-0.005615263884687471,2,3
E1_X1_H5,2026-03-16,0.02314618673650298,0.0013333333333333333,0.021812853403169647,0.010055917714691942,4,1
E1_X1_H5,2026-03-17,0.012963690736920006,0.0006666666666666666,0.01229702407025334,0.002645835981161415,2,1
E1_X1_H5,2026-03-18,-0.014085128471134833,0.0006666666666666666,-0.0147517951378015,-0.013656722393905363,2,1
E1_X1_H5,2026-03-19,-0.005008182208571057,0.0003333333333333333,-0.00534151554190439,-0.0027964336360658537,1,0
E1_X1_H5,2026-03-20,0.0,0.0003333333333333333,-0.0003333333333333333,-0.016991998780259032,1,1
E1_X1_H5,2026-03-23,0.02197557353968511,0.001,0.02097557353968511,0.010578071653885024,3,2
E1_X1_H5,2026-03-24,0.004466304432509541,0.0016666666666666668,0.002799637765842874,-0.0033110806511186253,5,3
E1_X1_H5,2026-03-25,0.007779683633501132,0.001,0.006779683633501132,0.00541943962215008,3,0
E1_X1_H5,2026-03-26,0.0,0.0006666666666666666,-0.0006666666666666666,-0.01771631077539948,2,2
E1_X1_H5,2026-03-27,-0.032097766249345676,0.0013333333333333333,-0.03343109958267901,-0.017090184873313485,4,2
E1_X1_H5,2026-03-30,-0.003986763749384118,0.001,-0.004986763749384118,-0.0032803700381383027,3,1
E1_X1_H5,2026-03-31,0.01962452239401903,0.0003333333333333333,0.019291189060685696,0.028860744041732556,1,0
E1_X1_H5,2026-04-01,0.0,0.0,0.0,0.0075971987506116,0,0
E1_X1_H5,2026-04-02,0.0,0.0,0.0,0.0010684273250964882,0,0
E1_X1_H5,2026-04-06,0.0,0.0003333333333333333,-0.0003333333333333333,0.004558745825631982,1,1
E1_X1_H5,2026-04-07,-6.445455665298024e-05,0.0006666666666666666,-0.0007311212233196469,0.000591944771089592,2,1
E1_X1_H5,2026-04-08,0.027629190720880006,0.0013333333333333333,0.026295857387546674,0.025210076253671332,4,3
E1_X1_H5,2026-04-09,0.015223877275021844,0.0016666666666666668,0.013557210608355177,0.005903400315958152,5,2
E1_X1_H5,2026-04-10,-0.001043534560964683,0.001,-0.002043534560964683,-0.0007795141211186518,3,1
E1_X1_H5,2026-04-13,0.009545270458377433,0.0003333333333333333,0.0092119371250441,0.009818327562752804,1,2
E1_X1_H5,2026-04-14,0.0019834730880996404,0.0013333333333333333,0.0006501397547663071,0.01222286795565819,4,2
E1_X1_H5,2026-04-15,0.004266901809735069,0.001,0.003266901809735069,0.007841368631783086,3,1
E1_X1_H5,2026-04-16,0.022570339301298654,0.0013333333333333333,0.021237005967965322,0.002443359727769767,4,3
E1_X1_H5,2026-04-17,0.021867706373601387,0.0016666666666666668,0.02020103970693472,0.012116029004205942,5,2
E1_X1_H5,2026-04-20,0.002804823655555612,0.0013333333333333333,0.0014714903222222788,-0.001915337476153911,4,2
E1_X1_H5,2026-04-21,-0.014108495960413105,0.0013333333333333333,-0.01544182929374644,-0.0064202793566923155,4,2
E1_X1_H5,2026-04-22,0.013668265134120934,0.0006666666666666666,0.013001598467454268,0.01004062711554421,2,0
E1_X1_H5,2026-04-23,0.0,0.0003333333333333333,-0.0003333333333333333,-0.0038947982250965296,1,1
E1_X1_H5,2026-04-24,0.0003972075952696219,0.0003333333333333333,6.387426193628858e-05,0.007819967828259333,1,0
E1_X1_H5,2026-04-27,0.0,0.0,0.0,0.0016526971456629624,0,0
E1_X1_H5,2026-04-28,0.0,0.0,0.0,-0.00486601683459531,0,0
E1_X1_H5,2026-04-29,0.0,0.0003333333333333333,-0.0003333333333333333,-0.00014047828654228933,1,1
E1_X1_H5,2026-04-30,0.023556060308906748,0.001,0.022556060308906747,0.009570248454200181,3,2
E1_X1_H5,2026-05-01,-0.0031546006508748623,0.0013333333333333333,-0.004487933984208195,0.0031737193101639694,4,2
E1_X1_H5,2026-05-04,-0.01116262365220633,0.0016666666666666668,-0.012829290318872998,-0.0036077201043374085,5,3
E1_X1_H5,2026-05-05,-0.0012984884162102566,0.0013333333333333333,-0.00263182174954359,0.007896142231708758,4,1
E1_X1_H5,2026-05-06,0.028915847863519393,0.0006666666666666666,0.028249181196852727,0.01385860866086297,2,1
E1_X1_H5,2026-05-07,-0.00485910642976483,0.0003333333333333333,-0.005192439763098163,-0.0030118728127759287,1,0
E1_X1_H5,2026-05-08,0.0,0.0,0.0,0.008160686421079255,0,0
E1_X1_H5,2026-05-11,0.0,0.0003333333333333333,-0.0003333333333333333,0.0022642914102741774,1,1
E1_X1_H5,2026-05-12,-0.013663705661634022,0.0006666666666666666,-0.014330372328300688,-0.001352813830473698,2,1
E1_X1_H5,2026-05-13,0.005274379203646496,0.001,0.004274379203646496,0.005560797075141233,3,2
E1_X1_H5,2026-05-14,-0.0008367550263967359,0.0013333333333333333,-0.0021700883597300692,0.007779853929373859,4,2
E1_X1_H5,2026-05-15,-0.020771174973777333,0.0013333333333333333,-0.022104508307110665,-0.012030798570200396,4,2
E1_X1_H5,2026-05-18,-0.02205063706215095,0.0006666666666666666,-0.022717303728817615,-0.0007036038307429715,2,0
E1_X1_H5,2026-05-19,0.0,0.0003333333333333333,-0.0003333333333333333,-0.006458540331209295,1,1
E1_X1_H5,2026-05-20,0.018107658709023245,0.001,0.017107658709023244,0.010166426628926084,3,2
E1_X1_H5,2026-05-21,0.007609643172383331,0.001,0.006609643172383331,0.002023608768971341,3,1
E1_X1_H5,2026-05-22,-0.0013336221740130434,0.0003333333333333333,-0.0016669555073463766,0.003823664564750917,1,0
E1_X1_H5,2026-05-26,0.0,0.0006666666666666666,-0.0006666666666666666,0.006545076612997969,2,2
E1_X1_H5,2026-05-27,0.004229358337340058,0.0006666666666666666,0.003562691670673391,0.0,2,0
E1_X1_H5,2026-05-28,0.0,0.0003333333333333333,-0.0003333333333333333,0.005556576689411674,1,1
E1_X1_H5,2026-05-29,-0.006945514256462604,0.0013333333333333333,-0.008278847589795937,0.0023322507837659767,4,3
E1_X1_H5,2026-06-01,2.2216182233153006e-06,0.0016666666666666668,-0.0016644450484433514,0.002696956585801269,5,2
E1_X1_H5,2026-06-02,-0.0011222588112491977,0.001,-0.0021222588112491977,0.0013580088845568383,3,1
E1_X1_H5,2026-06-03,-0.02751703991302184,0.0003333333333333333,-0.027850373246355174,-0.006952175155563456,1,0
E1_X1_H5,2026-06-04,0.0,0.0006666666666666666,-0.0006666666666666666,0.00379212843223109,2,2
E1_X1_H5,2026-06-05,-0.004865469599659833,0.0006666666666666666,-0.0055321362663265,-0.025757876381252487,2,0
E1_X1_H6,2026-03-12,0.0,0.0003333333333333333,-0.0003333333333333333,,1,1
E1_X1_H6,2026-03-13,-0.014382525414259068,0.0006666666666666666,-0.015049192080925734,-0.005615263884687471,2,3
E1_X1_H6,2026-03-16,0.02314618673650298,0.0013333333333333333,0.021812853403169647,0.010055917714691942,4,1
E1_X1_H6,2026-03-17,0.012963690736920006,0.0006666666666666666,0.01229702407025334,0.002645835981161415,2,1
E1_X1_H6,2026-03-18,-0.014085128471134833,0.0006666666666666666,-0.0147517951378015,-0.013656722393905363,2,1
E1_X1_H6,2026-03-19,-0.005008182208571057,0.0003333333333333333,-0.00534151554190439,-0.0027964336360658537,1,0
E1_X1_H6,2026-03-20,0.0,0.0003333333333333333,-0.0003333333333333333,-0.016991998780259032,1,1
E1_X1_H6,2026-03-23,0.02197557353968511,0.001,0.02097557353968511,0.010578071653885024,3,2
E1_X1_H6,2026-03-24,0.004466304432509541,0.0016666666666666668,0.002799637765842874,-0.0033110806511186253,5,3
E1_X1_H6,2026-03-25,0.007779683633501132,0.001,0.006779683633501132,0.00541943962215008,3,0
E1_X1_H6,2026-03-26,0.0,0.0006666666666666666,-0.0006666666666666666,-0.01771631077539948,2,2
E1_X1_H6,2026-03-27,-0.032097766249345676,0.0013333333333333333,-0.03343109958267901,-0.017090184873313485,4,2
E1_X1_H6,2026-03-30,-0.003986763749384118,0.001,-0.004986763749384118,-0.0032803700381383027,3,1
E1_X1_H6,2026-03-31,0.01962452239401903,0.0003333333333333333,0.019291189060685696,0.028860744041732556,1,0
E1_X1_H6,2026-04-01,0.0,0.0,0.0,0.0075971987506116,0,0
E1_X1_H6,2026-04-02,0.0,0.0,0.0,0.0010684273250964882,0,0
E1_X1_H6,2026-04-06,0.0,0.0003333333333333333,-0.0003333333333333333,0.004558745825631982,1,1
E1_X1_H6,2026-04-07,-6.445455665298024e-05,0.0006666666666666666,-0.0007311212233196469,0.000591944771089592,2,1
E1_X1_H6,2026-04-08,0.027629190720880006,0.0013333333333333333,0.026295857387546674,0.025210076253671332,4,3
E1_X1_H6,2026-04-09,0.015223877275021844,0.0016666666666666668,0.013557210608355177,0.005903400315958152,5,2
E1_X1_H6,2026-04-10,-0.001043534560964683,0.001,-0.002043534560964683,-0.0007795141211186518,3,1
E1_X1_H6,2026-04-13,0.009545270458377433,0.0003333333333333333,0.0092119371250441,0.009818327562752804,1,2
E1_X1_H6,2026-04-14,0.0019834730880996404,0.0013333333333333333,0.0006501397547663071,0.01222286795565819,4,2
E1_X1_H6,2026-04-15,0.004266901809735069,0.001,0.003266901809735069,0.007841368631783086,3,1
E1_X1_H6,2026-04-16,0.022570339301298654,0.0013333333333333333,0.021237005967965322,0.002443359727769767,4,3
E1_X1_H6,2026-04-17,0.021867706373601387,0.0016666666666666668,0.02020103970693472,0.012116029004205942,5,2
E1_X1_H6,2026-04-20,0.002804823655555612,0.0013333333333333333,0.0014714903222222788,-0.001915337476153911,4,2
E1_X1_H6,2026-04-21,-0.014108495960413105,0.0013333333333333333,-0.01544182929374644,-0.0064202793566923155,4,2
E1_X1_H6,2026-04-22,0.013668265134120934,0.0006666666666666666,0.013001598467454268,0.01004062711554421,2,0
E1_X1_H6,2026-04-23,0.0,0.0003333333333333333,-0.0003333333333333333,-0.0038947982250965296,1,1
E1_X1_H6,2026-04-24,0.0003972075952696219,0.0003333333333333333,6.387426193628858e-05,0.007819967828259333,1,0
E1_X1_H6,2026-04-27,0.0,0.0,0.0,0.0016526971456629624,0,0
E1_X1_H6,2026-04-28,0.0,0.0,0.0,-0.00486601683459531,0,0
